################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         51   0.0000000000000000E+00   5.2482213297243173E-03   2.0033047899368977E-04   3.0290251795102443E-04
         1         52   0.0000000000000000E+00   3.4932531194641646E-02   2.2189012375518589E-03   3.0922856922867671E-03
         1         53   0.0000000000000000E+00   2.8412820964042153E-02   3.3215386395755086E-03   3.9259089052686592E-03
         1         54   0.0000000000000000E+00   3.5445001154410294E-02   5.0659352813722672E-03   5.4964862152821013E-03
         1         55   0.0000000000000000E+00   7.1547800778128501E-02   4.9283548746644366E-03   7.1953826115614440E-03
         1         56   0.0000000000000000E+00   2.5539277466861264E-02   3.7588140260890650E-03   4.2809286921363992E-03
         1         57   0.0000000000000000E+00   4.9365377804824757E-02   2.4534372570195130E-03   4.1338460966584278E-03
         1         58   0.0000000000000000E+00   5.6732110544889091E-03   6.8532360343019020E-04   7.4435848898954968E-04
         1         59   0.0000000000000000E+00   1.3769703298290963E-02   5.0170696449679350E-04   8.1814602153612288E-04
         1         60   0.0000000000000000E+00   2.0237198064180232E-02   1.0490574455054662E-03   1.6530884043271562E-03
         1         61   0.0000000000000000E+00   1.5690604176693504E-02   1.6672240430490861E-03   2.1247030173951408E-03
         1         62   0.0000000000000000E+00   1.9817822298263354E-02   2.5042611082090856E-03   2.7710424318427994E-03
         1         63   0.0000000000000000E+00   1.5915960783899969E-02   1.9906342774542525E-03   2.3431307982660896E-03
         1         64   0.0000000000000000E+00   1.5509128102958862E-02   6.8933393997306616E-04   1.2498356306686197E-03
         2          1   0.0000000000000000E+00   2.3254633775918884E-01   1.5281380956585842E-02   2.5455246537333168E-02
         2          2   0.0000000000000000E+00   5.4113541752253558E-01   1.8872364977520548E-01   6.8920422660129141E-02
         2          3   0.0000000000000000E+00   4.4941202346886461E-01   2.2965313997363436E-02   3.7597206319613420E-02
         2          4   0.0000000000000000E+00   1.3102663311515664E-01   8.2669700182488783E-03   1.3888612332648832E-02
         2          5   0.0000000000000000E+00   3.0261633641930086E-01   5.0475298445199303E-02   2.1689592058755230E-02
         2          6   0.0000000000000000E+00   4.0340335151976159E-02   2.0428696964184681E-03   3.5468976989155394E-03
         2          7   0.0000000000000000E+00   9.7455033541642935E-02   3.9227110601454604E-03   7.2435712044063563E-03
         2          8   0.0000000000000000E+00   1.4936132649741432E-01   8.7338772862215891E-03   4.8097089689343583E-03
         2          9   0.0000000000000000E+00   1.8609504405255652E+00   1.6495751195245506E-01   2.5217362116064440E-01
         2         10   7.9137008109662673E-03   3.0618245756250935E+00   1.7641433050249793E+00   5.0441198888048722E-01
         2         11   0.0000000000000000E+00   2.6712996533767197E+00   1.9279195593768059E-01   2.5893787899596460E-01
         2         12   7.9991980618967867E-02   3.7536255694142486E+00   2.2845597530947583E+00   6.1815388321701936E-01
         2         13   0.0000000000000000E+00   2.5732384304193410E+00   2.6494296978007237E-01   3.9105511723095543E-01
         2         14   1.7868933984131832E-02   4.6131245351063086E+00   2.7629487600013762E+00   7.4823998563112737E-01
         2         15   0.0000000000000000E+00   3.5793494624290703E+00   2.9770918148017178E-01   3.7281521040466714E-01
         2         16   0.0000000000000000E+00   6.8113357282940745E-01   7.6445480687117415E-02   1.0904694632143354E-01
         2         17   6.0692115469205034E-02   1.2939796937831118E+00   7.7561110626073093E-01   2.1008815105244910E-01
         2         18   0.0000000000000000E+00   1.0318286242686223E+00   8.8951369483168022E-02   1.1154211720697411E-01
         2         19   0.0000000000000000E+00   6.2960189381387686E+00   6.1887998303020730E-01   8.9638569857482819E-01
