################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          6   0.0000000000000000E+00   1.6629494816867836E+00   3.9651376679499861E-01   5.0540636403341610E-01
         2          7   0.0000000000000000E+00   2.7049833313388025E+00   1.6505309801481587E+00   7.1979089365300686E-01
         2          8   0.0000000000000000E+00   4.2312880352641216E+00   9.9836111229267566E-01   1.2650310960254885E+00
         2          9   0.0000000000000000E+00   6.8995600696388610E+00   4.3173086853900333E+00   1.7916571431489920E+00
         2         10   0.0000000000000000E+00   2.6712184077222784E-01   3.8853260343840595E-02   5.1206434185921419E-02
         2         11   0.0000000000000000E+00   9.8891928935253426E-01   2.2138565358059242E-01   2.8078683524922354E-01
         2         12   0.0000000000000000E+00   1.5711379323816657E+00   9.9068552004580079E-01   3.9888537375003830E-01
         2         13   0.0000000000000000E+00   1.9570656447773997E+00   4.3840178868766877E-01   5.6098542177955579E-01
         2         14   0.0000000000000000E+00   2.9489276619747216E+00   1.9069185818901522E+00   7.6238551176242197E-01
         2         15   0.0000000000000000E+00   2.5158412669742392E+00   5.2976412330584488E-01   6.7725404966210134E-01
         2         16   0.0000000000000000E+00   4.0856621409243061E+00   2.5488318040880240E+00   9.9700970730644578E-01
         2         17   0.0000000000000000E+00   8.4920409304090558E+00   1.9851597381376167E+00   2.5148236834811750E+00
         2         18   0.0000000000000000E+00   1.3834538491298638E+01   8.7391271469045702E+00   3.5535887566265156E+00
         2         19   0.0000000000000000E+00   4.7878727909640046E+00   1.1294589414199676E+00   1.4309807634844225E+00
         2         20   0.0000000000000000E+00   7.8185907234068273E+00   4.9017432223881743E+00   2.0259540064357942E+00
         2         21   0.0000000000000000E+00   3.2475146816171341E+00   7.4128362559271954E-01   9.4275795675751439E-01
         2         22   0.0000000000000000E+00   5.2422210258470168E+00   3.3483489170310521E+00   1.3275726195796049E+00
         2         23   0.0000000000000000E+00   6.7732362263129451E+00   1.5498980636751354E+00   1.9658233623408305E+00
         2         24   0.0000000000000000E+00   1.0896573081605027E+01   6.9565016466891167E+00   2.7664424871955320E+00
         2         25   0.0000000000000000E+00   5.1904771740971034E+00   1.1754385632823086E+00   1.4924283153091722E+00
         2         26   0.0000000000000000E+00   8.2765593667381534E+00   5.2767177153797302E+00   2.1046866823416743E+00
         2         27   0.0000000000000000E+00   5.0102681802582545E+00   1.1048193347603166E+00   1.4031591061134243E+00
         2         28   0.0000000000000000E+00   7.8782004312363343E+00   5.0143400789143495E+00   1.9953740644636719E+00
         2         29   0.0000000000000000E+00   5.2117968779159476E+00   1.1694482129975992E+00   1.4867868544830534E+00
         2         30   0.0000000000000000E+00   8.1702049106049852E+00   5.2476316135184513E+00   2.0754266660945708E+00
         2         31   0.0000000000000000E+00   1.7931316424386928E-01   5.2573533642517017E-02   2.6928651461479082E-02
         2         32   0.0000000000000000E+00   6.7442393820351221E-01   1.9396031488623619E-01   2.2666654321526081E-01
