# Ref: http://cst-www.nrl.navy.mil/lattice/prototype.html (21.03.2012)
#          Prototype  NrSpecies  Stochiometry   Pearson's     Struktur   SpaceGroup    Nr    Wyckoff  NrIrr     Notes
                 NiS        2             1:1         hR6          B13          R3m   160         b2      2     --
               NiSSb        3           1:1:1        cP12          F01         P213   198         a3      3     Ullmanite
               Ni3S2        2             2:3         hR5          D5e          R32   155         ce      2     --
               Ni3Sn        2             1:3         hP8         D019      P63/mmc   194         ch      2     --
                NiTi        2             1:1         mP4           --        P21/m    11         e2      2     --
               NiTi2        2             1:2        cF96           --         Fd3m   227        def      3     --
           Np(alpha)        1               1         oP8           Ac         Pnma    62         c2      2     --
            Np(beta)        1               1         tP4           Ad       P4/nmm   129         ac      2     --
           O2(alpha)        1               1         mC4           --         C2/m    12          i      1     --
            O2(beta)        1               1         hR2           --          R3m   166          c      1     --
                 OPb        2             1:1         tP4          B10       P4/nmm   129         ac      2     --
        O3PbTi1-xZrx        4             xxx         tP5           --         P4mm    99        abc      3     Tetragonal_PZT(x<0.52)
    O3PbTi0.48Zr0.52        4   48:52:100:300        mC10           --           Cm     8        a3b      4     Monoclinic_PZT
               O4Pt3        2             3:4        cI14           --         Im3m   229         bc      2     --
         O3Re(alpha)        2             1:3         cP4          D09         Pm3m   221         ad      2     --
               O3Sb2        2             2:3        oP20         D511         Pccn    56        ce2      3     --
          O2Si(beta)        2             1:2         hP9           C8        P6222   180         cj      2     high_Quartz
         O2Si(alpha)        2             1:2         hP9           --        P3221   154         ac      2     low_Quartz
                O2Si        2             1:2        hP12          C10      P63/mmc   194        cfg      3     beta_Tridymite
                O2Si        2             1:2        oC24           --        C2221    20       abc2      4     Orthorhombic_Tridymite
                O2Si        2             1:2       mC144           --           Cc     9        a36     36     Monoclinic_Low_Tridymite
                O2Si        2             1:2        cF24           C9         Fd3m   227         ac      2     Ideal_beta-Cristobalite
                O2Si        2             1:2        tP12           --       P41212    92         ab      2     alpha_Cristobalite
                O2Si        2             1:2        mC48           --         C2/c    15       aef5      7     Coesite
                O2Si        2             1:2        tP36           --       P43212    96        ab4      5     Keatite
                O2Si        2             1:2        mP12           --           P2     3       bce5      7     Found_in_atomistic_simulations
              O4SiZr        3           1:1:4        tI24           --      I41/amd   141        abh      3     Zircon
                O2Ti        2             1:2         tP6           C4      P42/mnm   136         af      2     Rutile
                O2Ti        2             1:2        tI12           C5      I41/amd   141         ae      2     Anatase
                O2Ti        2             1:2        oP24          C21         Pbca    61         c3      3     Brookite
                O2Zr        2             1:2        mP12          C43        P21/c    14         e3      3     Baddeleyite
                   P        1               1         oC8          A17         Cmca    64          f      1     black_Phosphorus
