################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         64   0.0000000000000000E+00   3.2388703209206143E-02   3.3498866789066431E-04   1.2920124890449878E-03
         3          1   0.0000000000000000E+00   3.0534160472937577E-01   6.2953537090819703E-02   6.4378842598892178E-02
         3          2   0.0000000000000000E+00   4.3901553989464814E-01   9.0266611138905883E-02   8.5497878356567858E-02
         3          3   0.0000000000000000E+00   3.1798281289562552E-01   8.0823859942580373E-02   7.4352849996353429E-02
         3          4   0.0000000000000000E+00   2.3885378059727169E-01   4.9750047110253784E-02   4.8231229075367373E-02
         3          5   0.0000000000000000E+00   7.0133947151049036E-02   9.8609420606760190E-03   1.1372651200776235E-02
         3          6   0.0000000000000000E+00   9.7069598005848537E-02   1.5813289799089490E-02   1.5821576267100776E-02
         3          7   0.0000000000000000E+00   1.3197414625966286E-01   1.7006371747081601E-02   1.8746048280242591E-02
         3          8   0.0000000000000000E+00   8.2064372358295584E-02   6.6443879567315688E-03   8.3299501935984316E-03
         3          9   0.0000000000000000E+00   2.0345748609287804E+00   5.1619634666157277E-01   4.5113578926766340E-01
         3         10   0.0000000000000000E+00   3.0954795788567258E+00   7.2366914312228470E-01   6.7414892527570136E-01
         3         11   0.0000000000000000E+00   1.8888161332277413E+00   6.2851375088807904E-01   3.9560748611596996E-01
         3         12   0.0000000000000000E+00   2.7835818165473478E+00   7.2914103599480196E-01   6.0173812985155117E-01
         3         13   0.0000000000000000E+00   4.6389842936844925E+00   1.0908523762528446E+00   1.0352796007702101E+00
         3         14   0.0000000000000000E+00   3.7701957694063251E+00   1.3833316013057295E+00   7.9837402928700829E-01
         3         15   0.0000000000000000E+00   7.4445323574305933E-01   2.1966628591992440E-01   1.9431152671837118E-01
         3         16   0.0000000000000000E+00   1.2830126717283274E+00   3.2493344935183466E-01   3.0850198296981546E-01
         3         17   0.0000000000000000E+00   1.0398714360338936E+00   3.5347688963357299E-01   2.1805093241899151E-01
         3         18   0.0000000000000000E+00   6.8540120114541434E+00   1.7934877722056244E+00   1.5318851259979085E+00
         3         19   0.0000000000000000E+00   1.0930526222049570E+01   2.6422201984998983E+00   2.4783305790974741E+00
         3         20   0.0000000000000000E+00   8.5560428400554542E+00   3.0509437574234002E+00   1.7907511243408973E+00
         3         21   0.0000000000000000E+00   5.3797510210661272E+00   1.4552392617681909E+00   1.2384288528638785E+00
         3         22   0.0000000000000000E+00   7.1949767148699886E+00   2.6008393644287882E+00   1.5397607796383270E+00
         3         23   0.0000000000000000E+00   1.6282835166354970E+00   4.0350085188984741E-01   3.4825438684952237E-01
         3         24   0.0000000000000000E+00   2.4751725599835974E+00   6.2113570135368590E-01   5.8915260724056162E-01
         3         25   0.0000000000000000E+00   2.0238281177890096E+00   7.6068291558088130E-01   4.2844625869710234E-01
         3         26   0.0000000000000000E+00   2.9639184052866336E+00   7.7860987500504319E-01   6.7707825115209130E-01
         3         27   0.0000000000000000E+00   4.7109257010339505E+00   1.1761845373629727E+00   1.1222955784407196E+00
         3         28   0.0000000000000000E+00   3.9109542596250533E+00   1.3626028731394584E+00   8.2343885926318405E-01
         3         29   0.0000000000000000E+00   3.9531329681972718E+00   1.0397933821084753E+00   8.5679830487270536E-01
         3         30   0.0000000000000000E+00   5.4169077932845138E+00   1.9639966605804067E+00   1.1307978173725202E+00
         3         31   0.0000000000000000E+00   9.1490846784391333E-04   4.4651171037761716E-05   9.4303450241087639E-05
